name,image,region,regioncode,country,2021 Rank,2021 Score,2020 Rank,2020 Score,2018 Rank,2018 Score,2017 Rank,2017 Score,2016 Rank,2016 Score,2015 Rank,2015 Score,2014 Rank,2014 Score,2013 Rank,2013 Score,2012 Rank,2012 Score,2011 Rank,2011 Score,2010 Rank,2010 Score,2009 Rank,2009 Score,2008 Rank,2008 Score,2007 Rank,2007 Score,2006 Rank,2006 Score,epo2021score,ea2021score,hs2021score,pe2021score,epo2020score,ea2020score,hs2020score,pe2020score,epo2018score,ea2018score,hs2018score,pe2018score,epo2017score,ea2017score,hs2017score,pe2017score,epo2016score,ea2016score,hs2016score,pe2016score,epo2015score,ea2015score,hs2015score,pe2015score,epo2014score,ea2014score,hs2014score,pe2014score,epo2013score,ea2013score,hs2013score,pe2013score,epo2012score,ea2012score,hs2012score,pe2012score,epo2011score,ea2011score,hs2011score,pe2011score,epo2010score,ea2010score,hs2010score,pe2010score,epo2009score,ea2009score,hs2009score,pe2009score,epo2008score,ea2008score,hs2008score,pe2008score,epo2007score,ea2007score,hs2007score,pe2007score,epo2006score,ea2006score,hs2006score,pe2006score
Afghanistan,156,Asia & Pacific,asia,ZW,156,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180,0.514,0.952,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,25,Europe,eu,BF,25,0.77,20,0.769,34,0.734,38,0.728,62,0.704,70,0.701,83,0.6869,108,0.6412,91,0.6655,78,0.6748,78,0.6726,91,0.6601,87,0.6591,66,0.6685,61,0.6607,0.748,0.999,0.956,0.377,0.743,0.999,0.98,0.376,0.701,0.987,0.963,0.284,0.673,0.986,0.968,0.284,0.668,0.986,0.947,0.214,0.671,0.972,0.947,0.214,0.6534,0.97,0.9409,0.1834,0.6324,0.9755,0.9313,0.0256,0.6663,0.989,0.9313,0.0753,0.7129,0.9809,0.9268,0.0784,0.6808,0.9942,0.937,0.0785,0.6532,0.9906,0.9553,0.0413,0.6491,0.9907,0.9553,0.0413,0.6885,0.9925,0.9553,0.0375,0.661,0.989,0.955,0.038
Algeria,136,Arab States,arab,SY,136,0.633,132,0.634,128,0.629,127,0.629,120,0.642,128,0.632,126,0.6182,124,0.5966,120,0.6112,121,0.5991,119,0.6052,117,0.6119,111,0.6111,108,0.6068,97,0.6018,0.456,0.966,0.958,0.151,0.461,0.966,0.98,0.145,0.452,0.957,0.962,0.145,0.442,0.957,0.97,0.145,0.435,0.962,0.966,0.205,0.41,0.946,0.966,0.205,0.393,0.9363,0.9661,0.1772,0.3307,0.9387,0.9661,0.1511,0.3776,0.9499,0.9661,0.1511,0.4452,0.9502,0.9661,0.035,0.4666,0.953,0.9661,0.035,0.4697,0.9505,0.9714,0.0558,0.468,0.9491,0.9714,0.0558,0.4643,0.9422,0.9714,0.0495,0.443,0.944,0.971,0.049
Angola,119,Africa,afr,QA,119,0.657,118,0.66,125,0.633,123,0.64,117,0.643,126,0.637,121,0.6311,92,0.6659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0.759,0.976,0.245,0.64,0.759,0.98,0.262,0.602,0.745,0.98,0.206,0.56,0.763,0.976,0.262,0.565,0.778,0.98,0.251,0.59,0.726,0.98,0.251,0.5878,0.7211,0.9754,0.2402,0.6163,0.8062,0.9796,0.2614,0,0,0,0,0.5937,0.7864,0.9796,0.2898,0.6296,0.7854,0.9796,0.2901,0.5832,0.7779,0.9796,0.2007,0.5843,0.7779,0.9796,0.0711,0.5851,0.7792,0.9796,0.0696,0.587,0.779,0.980,0.070
Argentina,35,South/Latin America,samer,CG,35,0.752,30,0.746,36,0.733,34,0.732,33,0.735,35,0.734,31,0.7317,34,0.7195,32,0.7212,28,0.7236,29,0.7187,24,0.7211,24,0.7209,33,0.6982,41,0.6829,0.639,1.000,0.977,0.390,0.623,0.995,0.98,0.387,0.599,0.995,0.98,0.356,0.596,0.998,0.98,0.356,0.616,0.995,0.98,0.35,0.615,0.996,0.98,0.347,0.6312,0.9962,0.9796,0.3197,0.5887,0.9962,0.9796,0.3136,0.6075,0.9962,0.9796,0.3018,0.6124,0.9941,0.9796,0.3084,0.6024,0.9953,0.9796,0.2976,0.6029,0.9941,0.9796,0.3077,0.607,0.9941,0.9796,0.3027,0.6128,0.996,0.9796,0.2044,0.551,0.997,0.980,0.204
Armenia,114,Europe,eu,PY,114,0.673,98,0.684,98,0.678,97,0.677,102,0.669,105,0.668,103,0.6622,94,0.6634,92,0.6636,84,0.6654,84,0.6669,90,0.6619,78,0.6677,71,0.6651,0,0,0.655,0.998,0.950,0.091,0.673,0.998,0.98,0.118,0.675,1,0.939,0.099,0.671,0.999,0.939,0.099,0.671,1,0.939,0.068,0.664,1,0.939,0.068,0.6478,0.9996,0.9332,0.068,0.6384,0.9995,0.9497,0.0662,0.6446,0.9995,0.9441,0.0662,0.658,0.9994,0.9419,0.0623,0.669,0.9994,0.937,0.0621,0.6712,0.9992,0.9332,0.0439,0.6969,0.9993,0.9279,0.0468,0.7211,0.999,0.9227,0.0173,0,0,0,0
Australia,50,Asia & Pacific,asia,FJ,50,0.731,44,0.731,39,0.73,35,0.731,46,0.721,36,0.733,24,0.7409,24,0.739,25,0.7294,23,0.7291,23,0.7271,20,0.7282,21,0.7241,17,0.7204,15,0.7163,0.700,1.000,0.968,0.258,0.722,1,0.98,0.231,0.718,1,0.971,0.232,0.724,1,0.97,0.232,0.719,1,0.974,0.193,0.766,1,0.974,0.193,0.801,1,0.9737,0.1887,0.7879,1,0.9735,0.1945,0.7593,1,0.9735,0.1847,0.7565,1,0.9739,0.1861,0.7428,1,0.9739,0.1917,0.7477,1,0.9737,0.1915,0.7307,1,0.9741,0.1915,0.744,1,0.9741,0.1634,0.726,1.000,0.976,0.163
Austria,21,Europe,eu,BW,21,0.777,34,0.744,53,0.718,57,0.709,52,0.716,37,0.733,36,0.7266,19,0.7437,20,0.7391,34,0.7165,37,0.7091,42,0.7031,29,0.7153,27,0.706,27,0.6986,0.665,1.000,0.970,0.473,0.659,1,0.98,0.344,0.658,1,0.974,0.242,0.66,0.988,0.975,0.216,0.65,0.987,0.98,0.246,0.705,1,0.98,0.246,0.6704,1,0.9789,0.2573,0.6642,1,0.9787,0.3318,0.6515,0.9946,0.9787,0.3318,0.6245,0.9886,0.9787,0.2744,0.5952,0.9886,0.9787,0.2742,0.5701,0.9886,0.9796,0.2744,0.5872,0.9886,0.9796,0.3057,0.5824,0.9802,0.9796,0.2821,0.553,0.980,0.980,0.282
Azerbaijan,100,Asia & Pacific,asia,MM,100,0.688,94,0.687,97,0.68,98,0.676,86,0.684,96,0.675,94,0.6753,99,0.6582,99,0.6546,91,0.6577,100,0.6446,89,0.6626,61,0.6856,59,0.6781,0,0,0.748,0.996,0.939,0.069,0.748,0.996,0.98,0.063,0.716,1,0.941,0.063,0.717,0.984,0.941,0.063,0.728,0.988,0.95,0.069,0.701,0.984,0.95,0.063,0.7087,0.984,0.9441,0.0642,0.6591,0.982,0.9254,0.0663,0.6489,0.983,0.92,0.0663,0.642,0.9891,0.9331,0.0665,0.6352,0.9671,0.9287,0.0473,0.6863,0.9699,0.9366,0.0575,0.7863,0.9673,0.9313,0.0575,0.7319,0.9715,0.926,0.0831,0,0,0,0
Bahamas,58,South/Latin America,samer,GT,58,0.725,61,0.72,30,0.741,27,0.743,37,0.729,40,0.728,35,0.7269,40,0.7128,37,0.7156,22,0.734,36,0.7128,28,0.7179,0,0,0,0,0,0,0.857,1.000,0.980,0.064,0.838,1,0.98,0.061,0.863,1,0.98,0.122,0.871,1,0.978,0.122,0.827,1,0.98,0.11,0.823,1,0.98,0.11,0.8223,1,0.9796,0.1059,0.8244,1,0.9796,0.0471,0.8359,1,0.9796,0.0471,0.9135,1,0.9796,0.043,0.8288,1,0.9796,0.043,0.8264,1,0.9796,0.0655,0,0,0,0,0,0,0,0,0,0,0,0
